text,label,notes
World Cup tourists aren’t leaving tips — and NYC restaurants are fighting back by adding 20% automatic gratuities to checks,factual,
[CBS Sports Golazo] Netherlands are the first nation in World Cup history to score over 100 goals but never win the competition.,factual,
"[BBC Sport] Referee Ilgiz Tantashev told John McGinn that he turned down his penalty claim against Morocco because, as McGinn was being challenged, the ball was going out of play",factual,
"After the United States 2-0 win over Australia yesterday, Mauricio Pochettino is now tied for the most World Cup wins as USMNT manager after only two matches",factual,
"Turkey have been knocked out of the World Cup following their loss to Paraguay. They still have one match left against the USA, but their qualification hopes are officially gone.",factual,
Rashford and Rice give England boost for Ghana with Saka set for bench again,opinion,
"Paraguay's coach Gustavo Alfaro to Almiron after the match: ""You should have said him everything to him in Guarani. He doesn't understand.""",opinion,
"[Fabrizio Romano]EXCLUSIVE: Inter Miami complete deal to sign Casemiro as new midfielder, here we go! Verbal agreement sealed with all parties involved and all formal steps resolved, now waiting to sign and announce the Brazilian. Casemiro wants to play with Messi. Future in MLS.",factual,
"[Fabrizio Romano] Arda Güler: “We want to apologize, we feel ashamed. We all play for top clubs and we should do way better on this competition”. “In two games, we scored zero goals and it’s not acceptable”.",opinion,
"Norwegian star trio Nusa, Bobb and Schjelderup spent their time off between World Cup matches playing keepy-uppy with strangers in New York’s Central Park. «Surreal», says Levi (15j.",factual,
"Vini Jr on his World Cup performances: “As I said in the press conference, I am in the best shape of my life physically, technically and mentally."" “That is important. I always dreamed of arriving 100% at the best competition in the world and being like this, being able to score goals, make assists""",opinion,
"With Paraguay's 1-0 win against Türkiye, USA clinches first place in Group D, and Türkiye is eliminated.",factual,
Haiti becomes the first team to be eliminated from the World Cup after a 3-0 loss to Brazil / Their journey will end with one final match against Morocco.,factual,
[Craig Hope] Former Newcastle co-owners Amanda Staveley and Mehrdad Ghodoussi are looking at a deal to buy West Ham.,factual,
Paraguay’s Miguel Almirón gets first-ever red card for covering mouth in situation of confrontation,factual,
"Jeremy Doku's respiratory problem has resurfaced, he won't play against Iran tomorrow",factual,
"Brighton have informed Venezia that they will pay the €6m release clause of the defender, Michael Svoboda. Venezia already working to replace their captain",factual,
Across 2 games Turkiye have had 62 shots. Not a single one has resulted in a goal.,factual,
[BBC] Paraguay’s 1-0 win against Turkey is their first win in the World Cup since 2010,factual,
"Sport Lisboa e Benfica announces that it has reached an agreement with Rennes, from France, for the permanent transfer of footballer Gonçalo Oliveira. As part of the deal, the Club secured a buy-back option for the player.",factual,
Cape Verde’s Vozinha says U.S. visa issues stopped mom witnessing World Cup heroics,factual,
Soccer beacon Seattle shines on the World Cup stage,opinion,
Researchers affirm that a Scotsman was responsible for organizing the first football/soccer match in Brazil,factual,
"Norway's Erling Haaland is the first player to score twice on their World Cup debut since... Elijah Just for New Zealand on Monday, who was the first player to achieve the feat since... Yasin Ayari for Sweden on Sunday, who was the the first to do so since... Folarin Balogun for the U.S. on Friday.",factual,
"[Reuters] Dalot hits back at Portugal critics, defends Ronaldo",factual,
[NYTimes] Smaller U.S. Cities Give Visiting Teams an Extra-Warm Embrace,opinion,
"After yesterday's matches, the four group D teams are ranked right next to each other in the ELO rankings.",factual,
"Lamine Yamal: ""My obsession isn't being in the room and thinking that Mbappé or Messi have scored a goal and I want to score one too, I don't care because they're all 10 years ahead of me and my style of play is to enjoy and win.""",opinion,
"Australian VAR supervisor, Shaun Evans, hand gesture before the match between Germany and Curaçao",factual,
A FIFA staff member holding the Czech Republic flag got caught in the huge flag while the others were rolling it up.,factual,
"[Matteo Moretto] Tottenham is very close to reaching an agreement with Mateus Fernandes on the contract. There have still been no official negotiations with West Ham. Mateus Fernandes, also on the radar of other big clubs, is open to signing for Tottenham.",opinion,
"Steve Clarke's awkward post-match interview after Scotland's defeat to Morocco: ""I don't even know why we do these interviews.""",opinion,
"A group of Brazilian fans learnt of Philadelphia's 'Rocky Curse' (That any fanbase putting their paraphernalia on the statue of Rocky Balboa will lose), so they put an Argentina jersey on it",factual,
"Kroos comes to Bellingham's defense after criticism: ""He is one of the most complete in the world"".",opinion,
